Motif	Symbol
znf415.motif	ZNF415
znf416.motif	ZNF416
znf41.motif	ZNF41
znf467.motif	ZNF467
znf519.motif	ZNF519
znf528.motif	ZNF528
znf669.motif	ZNF669
znf675.motif	ZNF675
znf692.motif	ZNF692
znf711.motif	ZNF711
zscan22.motif	ZSCAN22
